beta,gamma
0.56085321,0.17101309
0.52022008,0.12805550
0.37333472,0.08858811
0.36383516,0.10979395
0.37033913,0.07665175
0.37901236,0.10569445
0.62390521,0.15767671
0.44018035,0.13712234
0.48086668,0.13692334
0.32012306,0.07973607
0.43108663,0.10057361
0.31269903,0.08178057
0.48260214,0.10831139
0.39176767,0.10002774
0.48181027,0.11506086
0.38761632,0.12186952
0.38029846,0.11290872
0.46288525,0.14274653
0.41705428,0.09958798
0.47084880,0.12765506
0.35921179,0.09967313
0.46488585,0.12435903
0.56472507,0.13915488
0.39370843,0.12887342
0.33078208,0.09723122
0.43351349,0.09143563
0.37869640,0.11594311
0.30319761,0.06915797
0.40112601,0.09622287
0.48659237,0.14632330
0.54971726,0.14690543
0.50138625,0.12947030
0.47920262,0.12439741
0.32402654,0.08929642
0.45391928,0.11569807
0.41834153,0.08920789
0.53653790,0.12609698
0.34126114,0.07997302
0.36567972,0.12232754
0.34793109,0.08488605
0.41276339,0.09887734
0.45657033,0.13576961
0.39894428,0.10882589
0.47608485,0.15120235
0.33489610,0.07401573
0.40427162,0.07915364
0.51899020,0.13276163
0.27185311,0.06379791
0.38113646,0.10657203
0.46304530,0.11592067
0.42254891,0.09740104
0.41922529,0.07792693
0.30830691,0.07811638
0.36097607,0.11851218
0.49775541,0.16349017
0.46920706,0.12293081
0.38884517,0.09986494
0.35623969,0.09360699
0.42711210,0.10459305
0.48887189,0.15509543
0.46439603,0.12095591
0.58344769,0.15604197
0.51529193,0.14724523
0.45087748,0.14280911
0.33400071,0.08594557
0.35573750,0.12198171
0.32827634,0.07155880
0.56900959,0.19502782
0.37918166,0.11087014
0.46119085,0.14406861
0.47165095,0.14512089
0.34044434,0.10770095
0.40041613,0.10237357
0.39861677,0.09485927
0.35386991,0.13064340
0.30049060,0.07871375
0.43392007,0.14798824
0.32479064,0.09885904
0.39879728,0.13245058
0.48423831,0.11513342
0.51554671,0.13289915
0.51033870,0.14395630
0.50892533,0.16439386
0.47024168,0.14723666
0.42888148,0.13481246
0.38079086,0.12781429
0.46363033,0.14093269
0.39517647,0.08348531
0.53483946,0.17237446
0.43780233,0.09034245
0.45543939,0.12329040
0.37201687,0.11597321
0.39035565,0.10254299
0.37402802,0.08417944
0.43451321,0.12245582
0.36596101,0.11944851
0.26326287,0.06736585
0.40240303,0.14231552
0.47366030,0.13907776
0.30019865,0.09553869
0.48647804,0.13863314
0.39226142,0.12229677
0.46182751,0.15173857
0.39796822,0.08379192
0.38372294,0.08420322
0.49168516,0.11924355
0.41472284,0.10919620
0.39412492,0.10139137
0.54599188,0.12547552
0.43188993,0.10446934
0.46687975,0.14990482
0.36860004,0.12669003
0.47868254,0.12777713
0.44634898,0.12299068
0.47663753,0.13739124
0.38392369,0.11244380
0.48317379,0.11257835
0.42674243,0.11761310
0.51183380,0.13282090
0.53334568,0.17226442
0.35731211,0.09184242
0.33099700,0.08811084
0.46401978,0.09046565
0.39543052,0.13635068
0.30939686,0.06706807
0.40376848,0.10359836
0.51082252,0.16068788
0.49711620,0.12699449
0.46446885,0.14288041
0.35713897,0.09627048
0.42241700,0.12479518
0.37444668,0.12657187
0.41030471,0.08876282
0.50113739,0.17387350
0.54560285,0.12154759
0.38404668,0.10939850
0.44387248,0.09542459
0.36419892,0.10000805
0.39623074,0.11112686
0.42988646,0.12295102
0.40943507,0.12659912
0.49331358,0.12371779
0.39430165,0.11727768
0.42137408,0.10390024
0.34315173,0.08368950
0.41312479,0.10607752
0.43205173,0.11223623
0.41102421,0.09492582
0.43578081,0.09707386
0.52298999,0.16894939
0.40994737,0.11681780
0.45218060,0.11484463
0.47734365,0.13138054
0.52397080,0.15006250
0.46475167,0.11977857
0.35482486,0.09380666
0.42600814,0.14367766
0.40294851,0.11722166
0.40670360,0.13426363
0.33594243,0.09598838
0.39453515,0.08832393
0.34813672,0.10853292
0.44612836,0.11145930
0.36323151,0.08627608
0.47662607,0.10361973
0.44743589,0.10796466
0.42101819,0.10222932
0.43375743,0.09600807
0.44359970,0.14734044
0.47202468,0.12288530
0.31339476,0.09384762
0.42563321,0.13062934
0.46502262,0.13261666
0.39282050,0.09375896
0.46724824,0.12027752
0.39160204,0.07410771
0.36525451,0.09527156
0.38755950,0.12434649
0.34060948,0.06963911
0.45448498,0.13132064
0.39303711,0.09138332
0.31213774,0.06487740
0.39916471,0.11610146
0.44615001,0.11200642
0.47783866,0.12810485
0.51626590,0.14741018
0.44586120,0.14300285
0.38809410,0.09317999
0.47014466,0.14620623
0.46841778,0.10158295
0.52196385,0.17661458
0.47873087,0.12431808
0.33145655,0.08941743
0.49529794,0.16420698
0.35187059,0.11455766
0.44952972,0.12499120
0.46668672,0.09388999
0.50711601,0.12473380
0.30933346,0.08958921
0.45572139,0.15304135
0.57490795,0.16018288
0.46258497,0.12042186
0.48875812,0.13604092
0.41727259,0.12073664
0.45836507,0.10913616
0.38985324,0.10148976
0.49143946,0.14810047
0.36934411,0.07986204
0.30342177,0.08088635
0.45731081,0.16279125
0.49142822,0.12003278
0.50345612,0.11754324
0.47931479,0.12441238
0.35416390,0.11090426
0.42664527,0.15149583
0.33206696,0.10486516
0.35589759,0.07979928
0.41946472,0.12460254
0.31862859,0.09694225
0.40852995,0.10641959
0.44236993,0.10206327
0.39557199,0.08885875
0.43444367,0.13804428
0.45431968,0.09828393
0.37813934,0.13678042
0.32964078,0.09223298
0.34445970,0.08321802
0.47902717,0.12585236
0.56341715,0.15220979
0.36827439,0.10694862
0.37698865,0.13872703
0.39436681,0.08797121
0.38338625,0.09166748
0.40308041,0.11130581
0.43928218,0.09401854
0.38130190,0.11695771
0.46011049,0.13153142
0.43044036,0.13387091
0.43139057,0.14026225
0.38691404,0.11591186
0.54993129,0.13930845
0.44316215,0.15359522
0.47707521,0.13982645
0.50046121,0.14065711
0.41137112,0.12898545
0.40045022,0.10500143
0.40478310,0.12371369
0.41492382,0.10014192
0.28346243,0.07372119
0.32148410,0.08224976
0.38446742,0.10186483
0.29266351,0.08940649
0.37455781,0.11334827
0.41654788,0.11985964
0.51213125,0.12021949
0.50343564,0.15714491
0.49685383,0.16538004
0.38452569,0.11335633
0.55093238,0.16115471
0.52680734,0.12681588
0.50136867,0.13018692
0.42137273,0.11972221
0.34110842,0.09824927
0.38575688,0.12122636
0.42237588,0.09997838
0.41629221,0.08492848
0.34447439,0.10657742
0.34746414,0.11029716
0.40729912,0.09517307
0.54234116,0.14674877
0.38680786,0.11665354
0.48032823,0.12690506
0.31312143,0.08745125
0.42167691,0.10631242
0.34960372,0.08313177
0.32134932,0.07206438
0.33705185,0.10510314
0.46969748,0.10183905
0.39566098,0.10610049
0.45786963,0.13124911
0.53905553,0.14179068
0.36257167,0.10482371
0.54678975,0.14080395
0.42370148,0.09883677
0.58181766,0.16551193
0.37929572,0.10609868
0.41613102,0.11094090
0.34956197,0.11085847
0.33641416,0.09307976
0.45876997,0.13794960
0.44806788,0.09940172
0.41810657,0.11204564
0.39856858,0.11237664
0.44486364,0.11640423
0.46350587,0.10814747
0.50623586,0.13545567
0.39046188,0.10802472
0.47778272,0.10356538
0.30065669,0.06385063
0.51949408,0.13783367
0.35873093,0.12859983
0.30053199,0.07357558
0.43539055,0.13220651
0.47642129,0.11495144
0.42871568,0.13023157
0.43015490,0.09285949
0.45963567,0.12669752
0.43885498,0.08622505
0.48137381,0.11639109
0.41994705,0.14624225
0.48648019,0.15644112
0.32046643,0.10587428
0.63205341,0.12171590
0.45505376,0.09982943
0.32665718,0.10566656
0.34489618,0.10284101
0.35712277,0.08526891
0.41919907,0.09854390
0.30605733,0.08013619
0.46174906,0.09459038
0.43634170,0.12066089
0.37926824,0.10537880
0.37316980,0.11837234
0.44588256,0.09923473
0.33272451,0.07402156
0.53095885,0.13106473
0.44680131,0.10965446
0.48475437,0.14623206
0.27672307,0.07866374
0.53096643,0.15709039
0.26975846,0.08290908
0.48586670,0.15373975
0.46231450,0.11667438
0.47674441,0.11524850
0.41008441,0.13493812
0.32193159,0.08718116
0.26790378,0.06555655
0.34947164,0.08541251
0.48407675,0.15011844
0.36436051,0.09166242
0.35358303,0.08610384
0.40748766,0.09282121
0.41493264,0.14516032
0.48683941,0.09583039
0.42380154,0.10994187
0.30988281,0.07891484
0.44145676,0.11558946
0.40011206,0.11571960
0.45105129,0.11436268
0.36279516,0.07901515
0.50957786,0.12543284
0.33193182,0.08251512
0.48042306,0.12917496
0.41793127,0.14863536
0.32074783,0.09239960
0.52626231,0.13486385
0.50918444,0.15095558
0.36886879,0.07897281
0.44072671,0.14480192
0.40018914,0.10936825
0.44945820,0.10932006
0.49834371,0.17158549
0.27801330,0.07899305
0.50633891,0.15672511
0.48030734,0.12418130
0.40282928,0.13094159
0.38925038,0.09429698
0.53010404,0.13497461
0.47976189,0.14613507
0.44082966,0.15032452
0.49172252,0.13132243
0.34152179,0.07755090
0.51088591,0.13127285
0.37426993,0.10045255
0.39459494,0.13950892
0.45295448,0.10738735
0.29746057,0.07124633
0.45916925,0.11792157
0.40154184,0.10530245
0.45237384,0.12261461
0.35064214,0.07809935
0.41051392,0.09039209
0.44162598,0.10537798
0.33423320,0.10851480
0.36891305,0.10182331
0.36145350,0.10843213
0.43648968,0.09825325
0.33051285,0.07677831
0.38160901,0.09534315
0.50615272,0.12777633
0.39979690,0.10494312
0.40493935,0.09549248
0.35240951,0.07539007
0.48967576,0.12485168
0.46543594,0.13896265
0.33753571,0.08859921
0.34541914,0.08400586
0.36294094,0.13131530
0.53024734,0.14374638
0.42165979,0.12315330
0.48834723,0.11033939
0.50138066,0.11132305
0.44159280,0.15024416
0.36513688,0.09172074
0.44638452,0.11448220
0.33746279,0.07640516
0.46869761,0.13868191
0.49446845,0.15260267
0.55973509,0.15126930
0.40674141,0.13520634
0.32964936,0.08914872
0.42126577,0.11735818
0.38354662,0.12002451
0.31873639,0.07163348
0.50857782,0.15515986
0.48050475,0.16743417
0.44964461,0.12534025
0.42268663,0.13475786
0.33200921,0.10172152
0.42822446,0.10653439
0.36714271,0.10208901
0.32176754,0.07650059
0.30293761,0.08730359
0.40183542,0.12026251
0.52462219,0.12500635
0.49744286,0.13090203
0.43134154,0.13096461
0.48294309,0.13169141
0.50605355,0.14938301
0.33013892,0.10750732
0.43645909,0.14424972
0.36778289,0.08891822
0.37655700,0.13827889
0.35100964,0.08314497
0.33426541,0.08028536
0.53113234,0.14036894
0.49885443,0.15637259
0.32531565,0.08043472
0.48061231,0.10887887
0.52899597,0.12092182
0.29687640,0.07190491
0.32529241,0.08404071
0.47100674,0.13853526
0.42211351,0.12072976
0.35838033,0.10620333
0.43363597,0.14580637
0.56819292,0.10615052
0.33190432,0.09556766
0.45746517,0.13256696
