beta,gamma
0.43539314,0.11174998
0.36297312,0.09767522
0.37616486,0.09494346
0.35699699,0.11090808
0.30008650,0.08241511
0.34322753,0.06980936
0.30949110,0.10440589
0.39742634,0.10530129
0.50268737,0.13175900
0.52670813,0.11511061
0.39729208,0.13075814
0.46395224,0.14624791
0.52550230,0.15195414
0.36894386,0.11461119
0.46729621,0.14519867
0.54265204,0.14638410
0.47485886,0.13931449
0.41151767,0.12320373
0.39773575,0.11405135
0.41866365,0.09113505
0.38698276,0.12303942
0.35149620,0.07909457
0.44401209,0.11988078
